,BKF-BL,BKF-NGW,BKF-OFFSET,BKF-PBL,BKF-SHW,Riders
0,3,28,2,2,7,342540
1,23,2,2,2,7,326943
2,23,13,2,2,7,316987
3,23,35,2,2,7,357282
4,23,35,2,8,7,311292
5,23,15,2,8,7,264103
