INSTALL_DATE,CATEGORY,PRIMARYDISTRICTCD
1990.0,BKF-BL,DISTRICT3
2000.0,BKF-BL,DISTRICT3
2000.0,BKF-PBL,DISTRICT3
2007.0,BKF-BL,DISTRICT3
2007.0,BKF-PBL,DISTRICT3
2007.0,BKF-SHW,DISTRICT3
2008.0,BKF-BL,DISTRICT3
2008.0,BKF-PBL,DISTRICT3
2008.0,BKF-SHW,DISTRICT3
2009.0,BKF-BL,DISTRICT3
2009.0,BKF-PBL,DISTRICT3
2009.0,BKF-SHW,DISTRICT3
2010.0,BKF-BL,DISTRICT3
2010.0,BKF-SHW,DISTRICT3
2011.0,BKF-BL,DISTRICT3
2011.0,BKF-PBL,DISTRICT3
2011.0,BKF-SHW,DISTRICT3
2012.0,BKF-BL,DISTRICT3
2012.0,BKF-NGW,DISTRICT3
2012.0,BKF-SHW,DISTRICT3
2013.0,BKF-SHW,DISTRICT3
2014.0,BKF-NGW,DISTRICT3
2015.0,BKF-NGW,DISTRICT3
2015.0,BKF-PBL,DISTRICT3
2016.0,BKF-NGW,DISTRICT3
2016.0,BKF-PBL,DISTRICT3
2016.0,BKF-SHW,DISTRICT3
2017.0,BKF-NGW,DISTRICT3
2017.0,BKF-PBL,DISTRICT3
2019.0,BKF-NGW,DISTRICT3
2019.0,BKF-PBL,DISTRICT3
2020.0,BKF-NGW,DISTRICT3
2020.0,BKF-PBL,DISTRICT3
2021.0,BKF-NGW,DISTRICT3
