INSTALL_DATE,CATEGORY,PRIMARYDISTRICTCD
1970.0,BKF-OFFST,DISTRICT5
2008.0,BKF-SHW,DISTRICT5
2009.0,BKF-BL,DISTRICT5
2009.0,BKF-PBL,DISTRICT5
2009.0,BKF-SHW,DISTRICT5
2010.0,BKF-BL,DISTRICT5
2010.0,BKF-PBL,DISTRICT5
2010.0,BKF-SHW,DISTRICT5
2011.0,BKF-BL,DISTRICT5
2011.0,BKF-SHW,DISTRICT5
2012.0,BKF-BL,DISTRICT5
2013.0,BKF-SHW,DISTRICT5
2014.0,BKF-NGW,DISTRICT5
2015.0,BKF-NGW,DISTRICT5
2015.0,BKF-PBL,DISTRICT5
2016.0,BKF-BL,DISTRICT5
2016.0,BKF-NGW,DISTRICT5
2016.0,BKF-PBL,DISTRICT5
2017.0,BKF-NGW,DISTRICT5
2017.0,BKF-PBL,DISTRICT5
2018.0,BKF-NGW,DISTRICT5
2019.0,BKF-NGW,DISTRICT5
2021.0,BKF-PBL,DISTRICT5
