INSTALL_DATE,CATEGORY,PRIMARYDISTRICTCD
1980.0,BKF-BL,DISTRICT7
1990.0,BKF-BL,DISTRICT7
2000.0,BKF-BL,DISTRICT7
2000.0,BKF-OFFST,DISTRICT7
2000.0,BKF-SHW,DISTRICT7
2007.0,BKF-BL,DISTRICT7
2007.0,BKF-SHW,DISTRICT7
2008.0,BKF-BL,DISTRICT7
2008.0,BKF-PBL,DISTRICT7
2008.0,BKF-SHW,DISTRICT7
2009.0,BKF-BL,DISTRICT7
2009.0,BKF-PBL,DISTRICT7
2009.0,BKF-SHW,DISTRICT7
2010.0,BKF-BL,DISTRICT7
2010.0,BKF-PBL,DISTRICT7
2010.0,BKF-SHW,DISTRICT7
2011.0,BKF-BL,DISTRICT7
2011.0,BKF-PBL,DISTRICT7
2011.0,BKF-SHW,DISTRICT7
2012.0,BKF-BL,DISTRICT7
2012.0,BKF-SHW,DISTRICT7
2014.0,BKF-PBL,DISTRICT7
2015.0,BKF-BL,DISTRICT7
2015.0,BKF-OFFST,DISTRICT7
2015.0,BKF-PBL,DISTRICT7
2016.0,BKF-OFFST,DISTRICT7
2016.0,BKF-PBL,DISTRICT7
2017.0,BKF-BL,DISTRICT7
2017.0,BKF-OFFST,DISTRICT7
2017.0,BKF-PBL,DISTRICT7
2018.0,BKF-PBL,DISTRICT7
2019.0,BKF-BL,DISTRICT7
2019.0,BKF-PBL,DISTRICT7
2020.0,BKF-PBL,DISTRICT7
2021.0,BKF-PBL,DISTRICT7
2021.0,BKF-SHW,DISTRICT7
