INSTALL_DATE,CATEGORY,PRIMARYDISTRICTCD
2000.0,BKF-BL,DISTRICT2
2000.0,BKF-SHW,DISTRICT2
2007.0,BKF-BL,DISTRICT2
2007.0,BKF-SHW,DISTRICT2
2008.0,BKF-BL,DISTRICT2
2008.0,BKF-SHW,DISTRICT2
2009.0,BKF-BL,DISTRICT2
2009.0,BKF-SHW,DISTRICT2
2010.0,BKF-BL,DISTRICT2
2010.0,BKF-SHW,DISTRICT2
2011.0,BKF-BL,DISTRICT2
2011.0,BKF-PBL,DISTRICT2
2011.0,BKF-SHW,DISTRICT2
2012.0,BKF-BL,DISTRICT2
2012.0,BKF-NGW,DISTRICT2
2012.0,BKF-SHW,DISTRICT2
2014.0,BKF-BL,DISTRICT2
2015.0,BKF-BL,DISTRICT2
2015.0,BKF-NGW,DISTRICT2
2015.0,BKF-PBL,DISTRICT2
2016.0,BKF-BL,DISTRICT2
2016.0,BKF-PBL,DISTRICT2
2016.0,BKF-SHW,DISTRICT2
2017.0,BKF-NGW,DISTRICT2
2017.0,BKF-PBL,DISTRICT2
2018.0,BKF-BL,DISTRICT2
2018.0,BKF-PBL,DISTRICT2
2019.0,BKF-BL,DISTRICT2
2019.0,BKF-NGW,DISTRICT2
2019.0,BKF-PBL,DISTRICT2
2020.0,BKF-OFFST,DISTRICT2
2021.0,BKF-NGW,DISTRICT2
