INSTALL_DATE,CATEGORY,PRIMARYDISTRICTCD
1980.0,BKF-PBL,DISTRICT6
1990.0,BKF-BL,DISTRICT6
1990.0,BKF-PBL,DISTRICT6
2000.0,BKF-BL,DISTRICT6
2000.0,BKF-SHW,DISTRICT6
2007.0,BKF-BL,DISTRICT6
2007.0,BKF-OFFST,DISTRICT6
2007.0,BKF-SHW,DISTRICT6
2008.0,BKF-BL,DISTRICT6
2008.0,BKF-PBL,DISTRICT6
2008.0,BKF-SHW,DISTRICT6
2009.0,BKF-BL,DISTRICT6
2009.0,BKF-SHW,DISTRICT6
2010.0,BKF-BL,DISTRICT6
2010.0,BKF-SHW,DISTRICT6
2011.0,BKF-BL,DISTRICT6
2011.0,BKF-SHW,DISTRICT6
2012.0,BKF-BL,DISTRICT6
2012.0,BKF-NGW,DISTRICT6
2012.0,BKF-SHW,DISTRICT6
2015.0,BKF-BL,DISTRICT6
2015.0,BKF-NGW,DISTRICT6
2015.0,BKF-PBL,DISTRICT6
2016.0,BKF-PBL,DISTRICT6
2017.0,BKF-NGW,DISTRICT6
2019.0,BKF-NGW,DISTRICT6
2019.0,BKF-PBL,DISTRICT6
