,CATEGORY,INSTALL_DATE,PRIMARYDISTRICTCD,SECONDARYDISTRICTCD,SHAPE_Length,STREET,START,END
2730,BKF-BL,1990,DISTRICT3,,324.037988217797,S JACKSON ST ,20TH PL S AND S JACKSON ST,22ND AVE S AND S JACKSON ST
2731,BKF-BL,2015,DISTRICT1,DISTRICT2,1354.09188941998,16TH AVE S BR ,16TH AVE S AND 16TH AVE S BR,16TH AVE S BR AND DALLAS AVE S
2732,BKF-SHW,2012,DISTRICT1,,69.4839369878811,SW AVALON WAY ,HARBOR AVE SW AND SW AVALON WAY,SW AVALON WAY AND SW SPOKANE SR ST
2733,BKF-PBL,2020,DISTRICT1,,144.958646230241,SW AVALON WAY ,SPOKANE TURN RD AND SW AVALON WAY,ADMIRAL AVALON RP AND SW AVALON WAY
2734,BKF-PBL,2020,DISTRICT1,,58.0514845588562,SW AVALON WAY ,ADMIRAL AVALON RP AND SW AVALON WAY,SW AVALON WAY AND SW ORLEANS ST
2735,BKF-PBL,2020,DISTRICT1,,228.398622445534,SW AVALON WAY ,SW AVALON WAY AND SW CHARLESTOWN ST,SW AVALON WAY AND SW BRADFORD ST
2736,BKF-PBL,2020,DISTRICT1,,1163.23745814588,SW AVALON WAY ,30TH AVE SW AND SW AVALON WAY,SW AVALON WAY AND SW GENESEE ST
2737,BKF-PBL,2020,DISTRICT1,,311.114177389013,SW AVALON WAY ,35TH AVE SW AND SW AVALON WAY,36TH AVE SW AND SW AVALON WAY
2738,BKF-NGW,2019,DISTRICT1,,411.244892074526,SW HOLLY ST ,SW HOLLY ST AND SYLVAN WAY SW,31ST AVE SW AND SW HOLLY ST
2739,BKF-NGW,2019,DISTRICT1,,332.313629643053,SW HOLLY ST ,32ND AVE SW AND SW HOLLY ST,34TH AVE SW AND SW HOLLY ST
2740,BKF-NGW,2016,DISTRICT5,,674.557526994468,NE 89TH ST ,32ND AVE NE AND NE 89TH ST,35TH AVE NE AND NE 89TH ST
2741,BKF-SHW,2009,DISTRICT1,,448.381046623701,SW THISTLE ST ,40TH AVE SW AND SW THISTLE ST,41ST AVE SW AND SW THISTLE ST
2742,BKF-SHW,2009,DISTRICT1,,337.983095044044,SW THISTLE ST ,42ND AVE SW AND SW THISTLE ST,CALIFORNIA AVE SW AND SW THISTLE ST
2743,BKF-NGW,2018,DISTRICT1,,314.827383607148,SW TRENTON ST ,11TH AVE SW AND SW TRENTON ST,12TH AVE SW AND SW TRENTON ST
2744,BKF-NGW,2018,DISTRICT1,,262.524786391062,SW TRENTON ST ,13TH AVE SW AND SW TRENTON ST,14TH E AVE SW AND SW TRENTON ST
2745,BKF-NGW,2018,DISTRICT1,,208.388403043061,SW TRENTON ST ,14TH W AVE SW AND SW TRENTON ST,15TH AVE SW AND SW TRENTON ST
2746,BKF-NGW,2018,DISTRICT1,,332.650242116631,SW TRENTON ST ,16TH AVE SW AND SW TRENTON ST,17TH AVE SW AND SW TRENTON ST
2747,BKF-BL,2009,DISTRICT2,,230.001277200067,S ROYAL BROUGHAM WAY ,1ST AVE S AND S ROYAL BROUGHAM WAY,OCCIDENTAL AVE S AND S ROYAL BROUGHAM WAY
2748,BKF-BL,2012,DISTRICT2,,194.141758345447,S ROYAL BROUGHAM WAY ,3RD AVE S AND S ROYAL BROUGHAM WAY,4TH AVE S AND S ROYAL BROUGHAM WAY
2749,BKF-SHW,2010,DISTRICT2,,213.985815294353,S LANDER ST ,7TH AVE S AND S LANDER ST,7TH PL S AND S LANDER ST
2750,BKF-SHW,2007,DISTRICT2,,3342.59440545569,BEACON AVE S ,BEACON AVE S AND BEACON WR N AVE S,BEACON AVE S AND BEACON ER AVE S
2751,BKF-SHW,2007,DISTRICT2,,177.001684026145,BEACON ER AVE S ,BEACON ER AVE S AND S ANGELINE ST,BEACON ER AVE S AND S COLUMBIAN WAY
2752,BKF-SHW,2010,DISTRICT2,,263.797474675054,S SPOKANE ST ,18TH AVE S AND S SPOKANE ST,19TH AVE S AND S SPOKANE ST
2753,BKF-BL,2010,DISTRICT2,,226.521680663048,S SPOKANE ST ,20TH AVE S AND S SPOKANE ST,21ST AVE S AND S SPOKANE ST
2754,BKF-NGW,2017,DISTRICT2,,271.021375723849,S OREGON ST ,37TH AVE S AND S OREGON ST,38TH AVE S AND S OREGON ST
2755,BKF-PBL,2018,DISTRICT2,,323.682567047316,S OTHELLO ST ,38TH AVE S AND S OTHELLO ST,39TH AVE S AND S OTHELLO ST
2756,BKF-BL,2009,DISTRICT5,,319.099570724241,35TH AVE NE ,35TH AVE NE AND NE 104TH ST,35TH AVE NE AND NE 105TH ST
2757,BKF-SHW,2009,DISTRICT5,,659.740023469056,35TH AVE NE ,35TH AVE NE AND NE 110TH ST,35TH AVE NE AND NE 113TH ST
2758,BKF-BL,2009,DISTRICT5,,486.344677138146,35TH AVE NE ,35TH AVE NE AND NE 115TH ST,34TH AVE NE AND 35TH AVE NE
2759,BKF-SHW,2009,DISTRICT5,,661.307634989407,35TH AVE NE ,35TH AVE NE AND NE 120TH ST,35TH AVE NE AND NE 123RD ST
2760,BKF-NGW,2015,DISTRICT3,,627.659632001607,21ST AVE E ,21ST AVE E AND E DENNY WAY,21ST AVE E AND E JOHN ST
2761,BKF-NGW,2015,DISTRICT3,,663.149715275159,21ST AVE E ,21ST AVE E AND E THOMAS N ST,21ST AVE E AND E REPUBLICAN ST
2762,BKF-NGW,2015,DISTRICT3,,297.032254595978,21ST AVE E ,21ST AVE E AND E MERCER ST,21ST AVE E AND E ROY ST
2763,BKF-NGW,2015,DISTRICT3,,664.933222671764,21ST AVE E ,21ST AVE E AND E ALOHA ST,21ST AVE E AND E PROSPECT ST
2764,BKF-NGW,2015,DISTRICT3,,139.381056741167,21ST AVE E ,21ST AVE E AND INTERLAKEN S PL E,21ST AVE E AND INTERLAKEN N PL E
2765,BKF-NGW,2012,DISTRICT2,,194.309032297457,S SNOQUALMIE ST ,CORSON AVE S AND S SNOQUALMIE ST,13TH AVE S AND S SNOQUALMIE ST
2766,BKF-NGW,2017,DISTRICT2,,122.151020145188,S SPOKANE ST ,36TH W AVE S AND S SPOKANE ST,36TH E AVE S AND S SPOKANE ST
2767,BKF-SHW,2009,DISTRICT1,,333.318725501779,SW THISTLE ST ,22ND AVE SW AND SW THISTLE ST,24TH AVE SW AND SW THISTLE ST
2768,BKF-SHW,2009,DISTRICT1,,333.263295681548,SW THISTLE ST ,24TH AVE SW AND SW THISTLE ST,25TH AVE SW AND SW THISTLE ST
2769,BKF-SHW,2009,DISTRICT1,,332.79436868868,SW THISTLE ST ,26TH AVE SW AND SW THISTLE ST,27TH AVE SW AND SW THISTLE ST
2770,BKF-SHW,2011,DISTRICT5,,942.900649722955,N 125TH ST ,INTERURBAN TRL AND N 125TH ST,AURORA AVE N AND N 125TH ST
2771,BKF-BL,2009,DISTRICT2,,1231.49607812335,S ROYAL BROUGHAM WAY BR ,OCCIDENTAL AVE S AND S ROYAL BROUGHAM WAY BR,3RD AVE S AND S ROYAL BROUGHAM WAY BR
2772,BKF-SHW,2009,DISTRICT5,,58.8028787888401,NE 137TH ST ,LAKE CITY WAY NE AND NE 137TH ST,ERICKSON PL NE AND NE 137TH ST
