,BKF-BL,BKF-NGW,BKF-OFFSET,BKF-PBL,BKF-SHW,Riders
0,172,20,2,36,101,205563
1,183,53,2,45,101,62055
2,183,53,2,47,101,42056
3,183,68,2,47,101,39712
4,183,87,2,47,101,40308
5,183,87,2,49,101,39973
