,BKF-BL,BKF-NGW,BKF-OFFSET,BKF-PBL,BKF-SHW,Riders
0,110,0,3,48,172,2601263
1,110,0,5,51,172,2607327
2,115,0,6,89,172,2555394
3,115,0,6,108,172,2856935
4,116,0,6,129,172,3382587
5,116,0,6,137,172,1579167
6,116,0,6,139,173,1346269
