,BKF-BL,BKF-NGW,BKF-OFFSET,BKF-PBL,BKF-SHW,Riders
0,142,12,0,39,7,375061
1,142,69,0,40,7,345642
2,142,90,0,43,7,301097
3,142,93,0,47,7,306970
4,142,93,0,47,7,307648
5,142,99,0,54,7,307342
6,142,110,0,56,7,225966
7,142,118,0,56,7,165491
