,Overall,BKF-BL,BKF-PBL,BKF-NGW,BKF-SHW,BKF-OFFST,Overall Network,Unprotected Bike Lanes,Protected Bike Lanes,Neighborhood Greenways,Sharrows,Off-Street Trails
2012,63586630.19086121,5475939.346696669,529715.9613969827,574752.1494291611,9198981.23741776,3282.814089387196,0.0,0.0,0.0,0.0,0.0,0.0
2013,64994339.27556689,5633412.41386937,529715.9613969827,574752.1494291611,9393248.715767559,3282.814089387196,2.2138444520181526,2.8757270159994617,0.0,0.0,2.1118368799318477,0.0
2014,76973206.53514478,5660606.603701057,583168.8694112137,690889.8881332092,9393248.715767559,3282.814089387196,18.430631641302124,0.48273032105257346,10.090862256304947,20.20657753422847,0.0,0.0
2015,94578768.35885487,6139822.618574463,1019825.4704331454,2100450.4973482853,9393248.715767559,11881.408724636454,22.872324820808487,8.465806731032705,74.87652786795607,204.02102179027713,0.0,261.92755365121394
2016,113806608.57146895,7382605.07034257,2322894.586974527,2455740.9676196626,9407410.996298488,12105.551864608808,20.329975264278094,20.241341305339773,127.77373720504704,16.914965181036827,0.1507708457368608,1.8865030668256184
2017,170539140.6976043,7390652.670935261,2744694.267216813,2905124.0367450374,9407410.996298488,12326.440481616739,49.849945304809005,0.10900759983789875,18.158365110818995,18.299286246014763,0.0,1.824688535296853
2018,191408638.77441424,7409398.910691981,3190685.5091148685,3203295.572418686,9407410.996298488,12326.440481616739,12.237365563964703,0.25364796035460113,16.249213882400888,10.263642168192112,0.0,0.0
2019,276571807.34786874,7411761.511483503,4328167.835396253,4110861.839224348,9407410.996298488,12326.440481616739,44.49285524350029,0.03188653789596978,35.65009221472706,28.332267388001082,0.0,0.0
2020,297066784.3473204,7411761.511483503,4729424.778510543,4171521.750305091,9407410.996298488,17507.438042544018,7.4103637662798,0.0,9.270826788017894,1.4756008217534433,0.0,42.0315789351683
2021,302504948.91989326,7411761.511483503,4750939.839649471,4280110.885505754,9409115.318400448,17507.438042544018,1.830620203642414,0.0,0.45491919517757284,2.603106053389766,0.01811680283375048,0.0
