OBJECTID,COMPKEY,COMPTYPE,SEGKEY,UNITID,UNITTYPE,UNITDESC,CATEGORY,MATERIAL,STYLE,MODEL_TYPE,ASSET_WIDTH,ASSET_HEIGHT,INSTALL_DATE,ASBLT,ATTACHMENT_1,ATTACHMENT_2,ATTACHMENT_3,ATTACHMENT_4,ATTACHMENT_5,ATTACHMENT_6,ATTACHMENT_7,ATTACHMENT_8,ATTACHMENT_9,ATTACHMENT_10,NUM_ATTACHMENTS,COMMENTS,CURRENT_STATUS,CURRENT_STATUS_DATE,CONDITION,CONDITION_ASSESSMENT_DATE,LAST_ASSET_VERIFICATION_DATE,PRIMARYDISTRICTCD,SECONDARYDISTRICTCD,OVERRIDEYN,OVERRIDECOMMENT,OWNERSHIP,OWNERSHIP_DATE,MAINTAINED_BY,MAINTENANCE_AGREEMENT,MAINTENANCE_FINANCIAL_RESP,ADDBY,ADDDTTM,MODBY,MODDTTM,DATE_MVW_LAST_UPDATED,COLOR,MOUNT_TYPE,MOUNT_MATERIAL,MAINTENANCE_GROUP,SHAPE_Length
58,834132,16,16039,BKF-2876,BKF,N 92ND ST BETWEEN CORLISS AVE N AND 1ST AVE NE (BKF-PBL),BKF-PBL,,,,0,0,2017/12/31 00:00:00+00,,,,,,,,,,,,0,PROJECT NUMBER 611,INSVC,2017/12/31 00:00:00+00,,,2017/12/31 00:00:00+00,DISTRICT5,,N,,,,,,,SP_BKF_DATALOAD,2021/09/11 00:00:00+00,,,2022/04/28 19:12:14+00,,,, ,661.279823803889
65,834420,16,14068,BKF-3164,BKF,EAST GREEN LAKE DR N BETWEEN STROUD AVE N AND WALLINGFORD AVE N (BKF-PBL),BKF-PBL,,,,0,0,1980/12/31 00:00:00+00,,,,,,,,,,,,0,PROJECT NUMBER 457,PLNRECON,1980/12/31 00:00:00+00,,,1980/12/31 00:00:00+00,DISTRICT6,,N,,,,,,,SP_BKF_DATALOAD,2021/09/11 00:00:00+00,LYNCHC,2022/04/20 00:00:00+00,2022/04/28 19:12:14+00,,,, ,149.472701187596
66,834421,16,14070,BKF-3165,BKF,EAST GREEN LAKE WAY N BETWEEN GREEN LAKE WAY N AND WEST GREEN LAKE WAY N (BKF-BL),BKF-BL,,,,0,0,2008/12/31 00:00:00+00,,,,,,,,,,,,0,PROJECT NUMBER 459,PLNRECON,2008/12/31 00:00:00+00,,,2008/12/31 00:00:00+00,DISTRICT6,,N,,,,,,,SP_BKF_DATALOAD,2021/09/11 00:00:00+00,,,2022/04/28 19:12:14+00,,,, ,204.672570610533
67,834422,16,14071,BKF-3166,BKF,EAST GREEN LAKE WAY N BETWEEN WEST GREEN LAKE WAY N AND GREEN LAKE TURN RD (BKF-PBL),BKF-PBL,,,,0,0,1980/12/31 00:00:00+00,,,,,,,,,,,,0,PROJECT NUMBER 459,PLNRECON,1980/12/31 00:00:00+00,,,1980/12/31 00:00:00+00,DISTRICT6,,N,,,,,,,SP_BKF_DATALOAD,2021/09/11 00:00:00+00,LYNCHC,2022/04/20 00:00:00+00,2022/04/28 19:12:14+00,,,, ,182.855708581174
68,834423,16,14072,BKF-3167,BKF,EAST GREEN LAKE WAY N BETWEEN GREEN LAKE TURN RD AND N 57TH ST (BKF-PBL),BKF-PBL,,,,0,0,1980/12/31 00:00:00+00,,,,,,,,,,,,0,PROJECT NUMBER 459,PLNRECON,1980/12/31 00:00:00+00,,,1980/12/31 00:00:00+00,DISTRICT6,,N,,,,,,,SP_BKF_DATALOAD,2021/09/11 00:00:00+00,LYNCHC,2022/04/20 00:00:00+00,2022/04/28 19:12:14+00,,,, ,131.019188068066
69,834424,16,14073,BKF-3168,BKF,EAST GREEN LAKE WAY N BETWEEN N 57TH ST AND KENWOOD PL N (BKF-PBL),BKF-PBL,,,,0,0,1980/12/31 00:00:00+00,,,,,,,,,,,,0,PROJECT NUMBER 459,PLNRECON,1980/12/31 00:00:00+00,,,1980/12/31 00:00:00+00,DISTRICT6,,N,,,,,,,SP_BKF_DATALOAD,2021/09/11 00:00:00+00,LYNCHC,2022/04/20 00:00:00+00,2022/04/28 19:12:14+00,,,, ,1033.64442712333
70,834425,16,14074,BKF-3169,BKF,EAST GREEN LAKE WAY N BETWEEN KENWOOD PL N AND KIRKWOOD PL N (BKF-PBL),BKF-PBL,,,,0,0,1980/12/31 00:00:00+00,,,,,,,,,,,,0,PROJECT NUMBER 458,PLNRECON,1980/12/31 00:00:00+00,,,1980/12/31 00:00:00+00,DISTRICT6,,N,,,,,,,SP_BKF_DATALOAD,2021/09/11 00:00:00+00,LYNCHC,2022/04/20 00:00:00+00,2022/04/28 19:12:14+00,,,, ,739.774674952881
71,834426,16,14075,BKF-3170,BKF,EAST GREEN LAKE WAY N BETWEEN KIRKWOOD PL N AND N 63RD ST (BKF-PBL),BKF-PBL,,,,0,0,1980/12/31 00:00:00+00,,,,,,,,,,,,0,PROJECT NUMBER 458,PLNRECON,1980/12/31 00:00:00+00,,,1980/12/31 00:00:00+00,DISTRICT6,,N,,,,,,,SP_BKF_DATALOAD,2021/09/11 00:00:00+00,LYNCHC,2022/04/20 00:00:00+00,2022/04/28 19:12:14+00,,,, ,418.299501725648
72,834427,16,14076,BKF-3171,BKF,EAST GREEN LAKE WAY N BETWEEN N 63RD ST AND N 64TH ST (BKF-PBL),BKF-PBL,,,,0,0,1980/12/31 00:00:00+00,,,,,,,,,,,,0,PROJECT NUMBER 458,PLNRECON,1980/12/31 00:00:00+00,,,1980/12/31 00:00:00+00,DISTRICT6,,N,,,,,,,SP_BKF_DATALOAD,2021/09/11 00:00:00+00,LYNCHC,2022/04/20 00:00:00+00,2022/04/28 19:12:14+00,,,, ,356.041367600477
73,834428,16,14077,BKF-3172,BKF,EAST GREEN LAKE WAY N BETWEEN N 64TH ST AND N 65TH ST (BKF-PBL),BKF-PBL,,,,0,0,1980/12/31 00:00:00+00,,,,,,,,,,,,0,PROJECT NUMBER 458,PLNRECON,1980/12/31 00:00:00+00,,,1980/12/31 00:00:00+00,DISTRICT6,,N,,,,,,,SP_BKF_DATALOAD,2021/09/11 00:00:00+00,LYNCHC,2022/04/20 00:00:00+00,2022/04/28 19:12:14+00,,,, ,336.812000968981
